"","gname","times"
"766","Combat 18",3
"767","Combatant Communist Front",1
"768","Combatant Nucleus for Communism",1
"769","Combat Brigades",1
"770","Combatent Communists",1
"771","Combat Nucleus of Communist Unity",1
"772","combat territory groups",2
"773","Comite Argentino de Lucha Anti-Imperialisto",4
"774","Comite d'Action Viticole",6
"775","Comite de Liberation et de Detournements d'Ordinateurs (Committee for the liberation and hijacking of computers)",1
"776","Commander Gonzalo Southern Group",1
"777","Commander Luciano Varela Antiguerrilla Group",1
"778","Command for National Sovereignty",1
"779","Commando 15th October",1
"780","Commando 27 September",1
"781","Commando Adolph Hitler",6
"782","Commando Delta",2
"783","Commando Heinz Neumann",1
"784","Commando Internacionalista Simon Bolivar",1
"785","Commandos",9
"786","Commandos Against Self Destruction of the Universe",1
"787","Commandos for A Popular alternative",4
"788","Commandos for the Defense of Western Civilization",1
"789","Commandos of France",3
"790","Committee for a National Drive for Peace and Democracy",1
"791","Committee for Direct Action Against War",2
"792","Committee for the Defense of Italian Workers in France",1
"793","Committee for the Elimination of Killer Collaborators",1
"794","Committee for the Safeguard of the Islamic Revolution",1
"795","Committee of action against bull fights",1
"796","Committee of Coordination",4
"797","Committee of Solidarity with Arab and Middle East Political Prisoners (CSPPA)",10
"798","Commune 1",1
"799","Communist Anti-Imperialistic Revolutionaries",1
"800","Communist Anti-Nuclear Front",5
"801","Communist Armed Nucleus",1
"802","Communist Attack Brigades",1
"803","Communist Attack Units",1
"804","Communist Brigade Dante Dimani",1
"805","Communist Brigades",1
"806","Communist Combattant Cells (CCC) (Belgium)",21
"807","Communist Combat Unit",2
"808","Communist Fighters Association",1
"809","Communist Fighters Group",1
"810","Communist Fighting Corunim- Maria Anna Maria",1
"811","Communist Fighting Detachments",1
"812","Communist Fighting Front",1
"813","Communist Fighting Nuclei",2
"814","Communist Fighting Unit",11
"815","Communist Front for Counterpower",2
"816","Communist Group of Proletarian Internationalism",3
"817","Communist Guerilla Nuclei",1
"818","Communist Hunters Command (CCC)",3
"819","Communist Nuclear",1
"820","Communist Nuclei of Counter Power",1
"821","Communist Party of India",1
"822","Communist Party of India - Maoist (CPI-Maoist)",1666
"823","Communist Party of India- Marxist",10
"824","Communist Party of India- Marxist-Leninist",8
"825","Communist Party of Malaysia- Marxist-Leninist",2
"826","Communist Party of Nepal-Maoist (Baidya)",34
"827","Communist Party of Nepal- Maoist (CPN-M)",23
"828","Communist Party of Nepal - Maoist (CPN-Maoist-Chand)",8
"829","Communist Party of Nepal (People's War Group)",8
"830","Communist Party of Nepal- Unified Marxist-Leninist (CPN-UML)",3
"831","Communist Party of Thailand",3
"832","Communist Patrols for Counter Power",2
"833","Communist Progress",2
"834","Communists",75
"835","Communists Fighting Imperialism and Armaments",2
"836","Communist Territorial Nuclei",5
"837","Communist Territorial Unit",1
"838","Communist Trade Union Workers",1
"839","Communist Warrior's Union",1
"840","Comrades in Arms",1
"841","Comrades Organized in Partisan Nuclei",1
"842","Comuneros",1
"843","Concerned citizens",1
"844","Condor",2
"845","Condor Plan Criminals",1
"846","Confederation of Iranian Students/National Union (CISNU)",1
"847","Congolese Armed Patriotic Group",1
"848","Congolese Democratic Coalition",2
"849","Congolese Liberation Party (PLC)",1
"850","Congolese National Movement- Lumumba (MNCL)",2
"851","Congolese Patriotic Resistence-Patriotic Armed Forces (Pareco/FAP)",2
"852","Congolese Rally for Democracy (RCD)",1
"853","Congress of Kabardian People",1
"854","Congress Party Activists",3
"855","Conqueror Army",2
"856","Conscientious Arsonists (CA)",5
"857","Conspiracy of Cells of Fire",52
"858","Continental Revolutionary Army",2
"859","Continuing Struggle",1
"860","Continuity Irish Republican Army (CIRA)",30
"861","Continuous Struggle",1
"862","Contras",93
"863","Convention of Liberal Reformers (CLR)",1
"864","Convention of Patriots for Justice and Peace",8
"865","Coordination Committee (CORCOM)",20
"866","Coordination for Revolutionary Action (CAR)",16
"867","Coordination of Anti-atomic Power Plant Saboteurs",1
"868","Coordination of Azawad Movements (CMA)",9
"869","Coordination of the United Revolutionary Organization (CORU)",14
"870","Core Conspirators for the Extension of Chaos (Núcleo de Conspiradores por la Extensión de Kaos)",1
"871","Corsican Farmers' Front",1
"872","Corsican Nationalists",10
"873","Corsican National Liberation Front (FLNC)",639
"874","Corsican National Liberation Front- Historic Channel",128
"875","Corsican Revolutionary Brigade",3
"876","Corsican Separatists",63
"877","Cossack Separatists",7
"878","Costa Rican Peoples' Army (EPC)",1
"879","Council for Popular Justice",2
"880","Council for the Destruction of Order",1
"881","Counter-revolutionaries",23
"882","Counterrevolutionary Solidarity (SC)",1
"883","Coup Plotters Against the Government",1
"884","Covenant, Sword and the Arm of the Lord (CSA)",4
"885","Crazy Brabant Killers",1
"886","Croat Democratic Union",1
"887","Croatian Freedom Fighters",5
"888","Croatian Liberation Army",1
"889","Croatian Militia",1
"890","Croatian Nationalists",35
"891","Croatian Revolutionary Cell-Bruno Busic Dept",1
"892","Croatians",3
"893","CSS Movement",1
"894","Cuban Action",13
"895","Cuban C-4 Movement",1
"896","Cuban Exiles",22
"897","Cuban Secret Army",1
"898","Cubans seeking escape from Cuba",1
"899","Cuncolta Naziunalista",1
"900","Cypriot",1
"901","Cyprus Turkish People's Movement",7
"902","Cyrenaica Self-Defense Force",2
"903","Dacoits",18
"904","Dagestani Shari'ah Jamaat",5
"905","Dainihon Yokuko Doshikai",1
"906","Danish Neo-Nazi Group",1
"907","Dark Harvest",2
"908","David's Sword",1
"909","David Yau Yau Militia",6
"910","Dawn Forces",1
"911","Dayak gang",1
"912","Death Squad",326
"913","Death Squad (Iraq)",1
"914","Death Squad of Organization Zero (Organizacion Cero)",1
"915","Death to Bazuqueros",6
"916","Death to Drug Traffickers",1
"917","Death to Kidnappers (MAS)",18
"918","Death to Rustlers",3
"919","Death to the Demobilized Militias",1
"920","Deccan Mujahideen",8
"921","December 13 Independent Group",3
"922","Defenders of the Fatherland",2
"923","Defenders of the Nation's Sovereignty",1
"924","Delta Democratic Militia",1
"925","Delta Group",3
"926","Democratic Front for Renewal (FDR)",2
"927","Democratic Front for the Liberation of Palestine (DFLP)",46
"928","Democratic Front for the Liberation of Rwanda (FDLR)",70
"929","Democratic Front of the Central African People (FDPC)",10
"930","Democratic Iraqi Opposition of Germany",1
"931","Democratic Karen Buddhist Army (DKBA)",25
"932","Democratic Movement for the Liberation of the Eritrean Kunamas (DMLEK)",2
"933","Democratic Party",1
"934","Democratic Progressive Party",1
"935","Democratic Revolutionary Alliance (ARDE)",141
"936","Democratic Revolutionary Front (FDR)",4
"937","Democratic Revolutionary Party",12
"938","Democratic Union Party (PYD)",1
"939","Demonstration led by French Anti-Nazi Hunters",1
"940","Demonstrators",1
"941","Deniers of Holidays",1
"942","Depositers angered",1
"943","Derna Mujahideen Shura Council",2
"944","Detonators of Social Uprisings",1
"945","Dev Genc",1
"946","Devrimici Halk Kurtulus Cephesi (DHKP/C)",35
"947","Dev Sol",252
"948","Dev Yol",4
"949","Didier Ratsiraka’s Militia",1
"950","Dignity Command",1
"951","Dignity for Colombia",4
"952","Dima Halao Daoga (DHD)",24
"953","Dima Hasao National Army",1
"954","Dioulas tribal group",1
"955","Diraa al-Shahbaa Rebel Brigade",1
"956","Direct Action Against Drugs (DADD)",4
"957","Disgruntled Petroecuador workers",1
"958","Dishmish Regiment",43
"959","Dissident",2
"960","Dissident Military Mmbrs of Northern Tribal Group",1
"961","Dissident Republican Guard",1
"962","Dissident Republicans",70
"963","Dissidents linked to Zanga",1
"964","Diyala Salvation Council",1
"965","Dnester region guerrilas",1
"966","Dnestr Rebels",1
"967","Dnestr Republic Separatists",2
"968","Dominican Popular Movement (MPD)",2
"969","Donetsk People's Republic",600
"970","Donskoy Army",4
"971","Do-or-Die Corps for the Abolition of Anti-Public Taxation Systems",1
"972","Down with Lubbers",2
"973","Draa El Mizan Seriat",2
"974","Dravidar Viduthalai Kazhagam (DVK)",3
"975","Drug-Related Terrorists",5
"976","Druzes",5
"977","Dukhta-ran-e-Millat",1
"978","Dynamic Youth Forum",2
"979","Eagles of the Palestinian Revolution",9
"980","Earth First!",3
"981","Earth Liberation Front (ELF)",72
"982","Earth Night Action Group",1
"983","East Asia Anti Japanese Armed Front",12
"984","Eastern Turkistan Islamic Movement (ETIM)",8
"985","East Side Action Committee",1
"986","East Timorese Activists",15
"987","East Turkistan Liberation Organization",1
"988","Ecology and Antinuclear Revolutionary Party (CRAE)",1
"989","Economic Freedom Fighters",7
"990","Ecuadorian Communist Youth",1
"991","Ed'daoua Es'salafia Lilqadha",1
"992","Eelam People's Revolutionary Liberation Front (EPRLF)",7
"993","Effiat ethnic roup or Jbibio Peoples",1
"994","Egbema National Front",1
"995","Egbesu Youths of the Bayelsa",2
"996","Egyptian Revolutionary Organization",1
"997","Egyptians",1
"998","Egyptian Tawhid and Jihad",2
"999","Egypt's Revolution",3
"1000","Ein Tyrol (One Tyrol)",5
"1001","Ejercito de Liberacion Nacional (Bolivia)",3
"1002","Ejercito Revolucionaria del Pueblo (ERP) (Argentina)",85
"1003","Ejercito Revolucionario Guevarista (Guevarist Revolutionary Army)",1
"1004","Elements Police Cobra Squadron",1
"1005","El-Feth katibat",1
"1006","El Mico Rebel Gray",1
"1007","El Movimiento Revolucionario Independinista",1
"1008","Elos security firm",1
"1009","Emilio Recabarren Commando",1
"1010","English Defense League (EDL)",1
"1011","Enraged Revolutionaries",1
"1012","Environmentalist",1
"1013","Environmental Life Force",2
"1014","Enyele Militia",2
"1015","Epanastatiki Anatropi (Revolutionary Overthrow)",1
"1016","Eritrean Liberation Front",21
"1017","Eritrean Peoples Liberation Front",4
"1018","Eritrean Salvation Front (ESF)",1
"1019","Erotic Anti-authority Cells",1
"1020","Ethiopian Dongiro tribesmen",1
"1021","Ethiopian People's Revolutionary Party",5
"1022","Ethiopians",2
"1023","Ethnic Russian Separatists",1
"1024","E. Timorese Youths",6
"1025","Etnocacerista Movement",1
"1026","Evangelical Christians",1
"1027","Evan Mecham Eco-Terrorist International Conspiracy (EMETIC)",5
"1028","Eva Peron Organization",2
"1029","Ex-Somoza National Guard",23
"1030","Extortionists",4
"1031","Extraparliamentary Opposition (APO)",6
"1032","Extreme Left",1
"1033","Extreme Right Commando Brigade",1
"1034","Extreme Right-wing Socialist Phalange",1
"1035","Extremist Nat'list Group",1
"1036","Extremists",28
"1037","FACDM",1
"1038","Face to Face (Face-a-Face)",1
"1039","Faithful Resistance",1
"1040","Falange",1
"1041","Falangist Security Group",1
"1042","Falangist Vanguard",1
"1043","Fanatical Ecologists",1
"1044","Fanmi Lavalas",1
"1045","Faqra Tribal Group",1
"1046","Farabundo Marti National Liberation Front (FMLN)",3351
"1047","Farighan",3
"1048","Farm Animal Revenge Militia (FARM)",2
"1049","Farmers",5
"1050","Farmer's Movement of the Philippines (KMP)",2
"1051","Fatah al-Islam",3
"1052","Fatah Hawks",5
"1053","Fatah Uprising",6
"1054","Fatherland",1
"1055","Fatherland and Liberty Nationalist Front (FNPL - Frente Nacionalista Patria y Libertad FNPL)",1
"1056","Father of the Poor",1
"1057","February 14th Movement",4
"1058","February 17 Martyrs Brigade",6
"1059","February 27 Revolutionary Armed Forces",1
"1060","February 28 Popular League (El Salvador)",15
"1061","Fedayeen",3
"1062","Fedayeen Imam Mahdi",1
"1063","Fedayeen Khalq (People's Commandos)",7
"1064","Fedayeen of the Imperial Iranian Monarchy",1
"1065","Federation of Students and Scholars of Cote d'Ivoire (FESCI)",2
"1066","Feliciano Argueta Front",1
"1067","Fezzan Province of the Islamic State",3
"1068","Fight Against Authority",1
"1069","Fighters for Communism",2
"1070","Fighters for the Liberation of the Turkish People",1
"1071","Fighters of Democratic Latvia",1
"1072","Fighters of the People",1
"1073","Fighting Communist Front",1
"1074","Fighting Communists",1
"1075","Fighting Communist Unit",1
"1076","Fighting Ecologist Movement",1
"1077","Fighting For Freedom Coalition (FFFC-Ottawa)",1
"1078","Fighting Guerrilla Formation",5
"1079","Fighting Nucleus for Communism",1
"1080","Fighting Popular Rally",7
"1081","Fighting Proletarian Front",1
"1082","Fighting Proletarian Squads",13
"1083","Fighting Women",1
"1084","Fighting Workers for Communism",1
"1085","Filipino Communists",1
"1086","Filipino Soldiers for the Country",2
"1087","Fire Group",3
"1088","First Capital Command (PCC)",1
"1089","First May Movement",1
"1090","First of October Antifascist Resistance Group (GRAPO)",210
"1091","Flying Eagles (Vigilante Group)",1
"1092","Foibe tribe",1
"1093","Forbidden Blockade (Greece)",1
"1094","Forbid the Evil Group (Muslim Extremists)",3
"1095","Force 17",13
"1096","Force Etudiante Critique",1
"1097","Forces for the Defense of Democracy (FDD)",5
"1098","Forces for the Unification of the Central African Republic (FIRCA)",1
"1099","Forces of the Free Arab",1
"1100","Forces of the Struggling Ranks",4
"1101","Forest Brothers",2
"1102","Former Border Policeman",1
"1103","former ""comrades-in-arms""",1
"1104","Former Govt. Troops",2
"1105","Former Interior Ministry Officers",3
"1106","Former members Central Investigation Office",1
"1107","Former Muslim Guerrillas",1
"1108","Former Soldiers/Police",2
"1109","Former Student Hostel",1
"1110","Forqan Group",18
"1111","Forum for the Restoration of Democracy-Kenya",2
"1112","Four Martyrs Brigade",1
"1113","Fourth Reich Skinheads",1
"1114","France's Honour",1
"1115","Francia",8
"1116","Francisco Villa People's Front",2
"1117","Fred Hampton Unit of the People's Forces",5
"1118","Free Aceh Movement (GAM)",116
"1119","Free All Political Prisoners in Holland",1
"1120","Free and Democratic Society of Eastern Kurdistan (KODAR)",1
"1121","Free Balochistan Army (FBA)",1
"1122","Free Democratic People's Government of Laos",1
"1123","Freedom Eagles of Africa",2
"1124","Freedom Party",3
"1125","Free Fatherland",2
"1126","Free Fatherland Youth Guerrilla Army",1
"1127","Free Galician People's Guerrilla Army",47
"1128","Free Lebanon",1
"1129","Free Libya Martyrs Brigade",3
"1130","Free Nasserite Revolutionaries",1
"1131","Free Network South (Freies Netz Sued)",1
"1132","Free Papua Movement (OPM-Organisasi Papua Merdeka)",36
"1133","Free Revolutionaries Movement-The Giants",1
"1134","Free Syrian Army",69
"1135","Free Vietnam Movement",1
"1136","French Armed Islamic Front",1
"1137","French Basque Nationalists",1
"1138","French Liberation Front",1
"1139","French National",1
"1140","Friendly Company",1
"1141","Friends of Freedom",2
"1142","Friends of Loukanikos",1
"1143","Front de Liberation du Quebec (FLQ)",2
"1144","Fronte Paesanu Corsu di Liberazione (FPCL)",1
"1145","Front for Armenian Liberation",1
"1146","Front for Peace and Reconciliation (FRP)",1
"1147","Front for the Liberation of Cabinda / Cabinda Armed Forces (FLEC-FAC)",2
"1148","Front for the Liberation of Lebanon from Foreigners",15
"1149","Front For the Liberation of the Azores",8
"1150","Front for the Liberation of the Enclave of Cabinda (FLEC)",17
"1151","Front for the Liberation of the French Somali Coast",3
"1152","Front for the National Liberation of Puerto Rico",3
"1153","Front for the Restoration of Unity and Democracy",5
"1154","Front Line Armed Nuclei (FLAN)",1
"1155","Front of French National Liberation",1
"1156","Front of Resistance and National Liberation of Albanians",1
"1157","Fuerza Nueva",5
"1158","Fuerzas Armadas de Liberacion Nacional (FALN)",120
"1159","Fuerzas Armadas Revolucionarias del Pueblo (FARP)",3
"1160","Fuerzas Autonómicas y Destructivas León Czolgoscz",1
"1161","Fuerzas Populares Jose Leonardo Chirinos",1
"1162","Fulani Militants",277
"1163","Fundamentalists",2
"1164","Furious Rebellion",1
"1165","Future movement (Lebanon)",1
"1166","GAC",7
"1167","Gaddafi Loyalists",5
"1168","Ganda Koi",1
"1169","Gang",4
"1170","Gang separatists terrorists",1
"1171","Gangs of Conscience",2
"1172","Garo National Liberation Army",143
"1173","Gathering to Aid the Oppressed",1
"1174","Gay Liberation Front",2
"1175","Gazteriak",1
"1176","Gbagbo Loyalists",7
"1177","Generation of Arab Fury",2
"1178","George Jackson Brigade",20
"1179","Georgian guerrillas",1
"1180","Georgian Militants",3
"1181","Georgian rebels",2
"1182","Georgian Sabotage Group",1
"1183","German Resistance Movement",2
"1184","German Speaking Separatists",3
"1185","Gholam Yahya Akbar",1
"1186","Gilad Shalhevet Brigades",1
"1187","Global Intifada",3
"1188","GN-95",1
"1189","God our Father Cult",1
"1190","God's Army",2
"1191","God's Oppressed Army",2
"1192","Gono Bahini (GB)",2
"1193","Government Supporters",2
"1194","GP II",1
"1195","Gracchus Babeuf",5
"1196","Great Eastern Islamic Raiders Front (IBDA-C)",36
"1197","Greater Damascus Operations Room",2
"1198","Great Japan Patriotic Party",1
"1199","Greek Anarchists' Union",2
"1200","Greek Anti-Dictatorial Youth (EAN)",1
"1201","Greek Bulgarian Armenian Front",1
"1202","Greek National Socialist Organization",3
"1203","Greek Popular Resistance",1
"1204","Grey Wolves",8
"1205","Group for a Strong Revolutionary Movement",1
"1206","Group for Martyred Isam as-Sartawi",2
"1207","Group of Carlo Giuliani",1
"1208","Group of Popular Fighters",4
"1209","Group of the Fatima Church Attack",1
"1210","Groups for Dissemination of Revolutionary Theory and Action",1
"1211","Groups Seeking Independence",1
"1212","Group Yuri Choukewitch",1
"1213","Grozny Jamaat",1
"1214","Grupo Armado de Liberacion Argentina (GALA)",1
"1215","Grupo de Combatientes Populares",2
"1216","Grupo Estrella",4
"1217","Grupo Libertad",1
"1218","Gruppe Haw Weg Den Scheiss",2
"1219","Guadalcanal Liberation Army",1
"1220","Guadalcanal Liberation Front (GLF)",1
"1221","Guadeloupe Liberation Army",7
"1222","Guadeloupe Separatists",1
"1223","Guajajara Tribe",1
"1224","Guardians of the Islamic Revolution",2
"1225","Guardsmen of Islam",2
"1226","Guards of the Fighting Proletariat",1
"1227","Guatemalan Communist Party",2
"1228","Guatemalan hired assasins",1
"1229","Guatemalan Labor Party (PGT)",22
"1230","Guatemalan National Revolutionary Unity (URNG)",131
"1231","Guaycaipuro Indians",1
"1232","Guerilla Party of the Galician Poor",3
"1233","Guerrilla Army of the Poor (EGP)",157
"1234","Guerrilla Command Force 97",1
"1235","Guerrilla Commando of the people",1
"1236","Guerrilla Forces for Liberation",7
"1237","Guerrilla Movement of the Poor (MGP)",1
"1238","Guerrillas",51
"1239","Guerrillas of Christ the King",2
"1240","Gugama Youth Federation",1
"1241","Gulf Cartel",1
"1242","Gunmen",280
"1243","Gunmen loyal to Mohammad Farah Aideed",1
"1244","Gun runners",1
"1245","Gurkha National Liberation Front (GNLF)",59
"1246","Gutierrez Gomez Resistance Group",2
"1247","Habi's Er'roub seriat",1
"1248","Habr Gedir Clan",3
"1249","Hadramawt Province of the Islamic State",7
"1250","Hadramawt Tribes Alliance",3
"1251","Hafiz Gul Bahadur Group",1
"1252","Haftar Militia",25
"1253","Haika",1
"1254","Halqa-e-Mehsud",13
"1255","Hamas (Islamic Resistance Movement)",385
"1256","Hamawand Tribe",1
"1257","Hamza Combat Group against Atheism and Heresy",1
"1258","Hanafi Muslims",3
"1259","Hanchongryun",1
"1260","Haqqani Network",76
"1261","Harakat Ansar Iran (HAI)",1
"1262","Harakat-i-Inqilahi-i-Islami",1
"1263","Harakat ul-Mujahidin Al-Almi",1
"1264","Harakat ul-Mujahidin (HuM)",3
"1265","Harkat ul Ansar",11
"1266","Harkatul Jihad-e-Islami",14
"1267","Hasmoneans (Jewish Settler Group)",1
"1268","Hassan Mabkhut Group",2
"1269","Hatikvah Leumi or National Hope",1
"1270","Hauso Ethnic Group",1
"1271","Hector Rio De Brigade",1
"1272","Hekla Reception Committee-Initiative for More Social Eruptions",5
"1273","Hells Angels",1
"1274","Heroes of Canto Grande",1
"1275","Hezb-e Wahdat-e Islami-yi Afghanistan",5
"1276","Hezbollah",396
"1277","Hezbollah Palestine",3
"1278","Hijaz Province of the Islamic State",2
"1279","Hill Students Council",1
"1280","Hill Tiger Force (HTF)",4
"1281","Himali Tigers",1
"1282","Hindu Group",8
"1283","Hindu Illaignar Sena",1
"1284","Hindu Morcha Nepal",4
"1285","Hiroyuki Jo",1
"1286","Hizb al-Tahrir al-Islami (HT)",2
"1287","Hizb-I-Islami",41
"1288","Hizbul al Islam (Somalia)",17
"1289","Hizbul Mujahideen (HM)",140
"1290","Hmar People's Convention-Democracy (HPC-D)",6
"1291","Hofstad Network",1
"1292","Holders of the Black Banners",1
"1293","Holy Spirit Movement",7
"1294","Homeland and Freedom Group",1
"1295","Honour of the Police",1
"1296","hooded men",1
"1297","Hoodie Wearers",1
"1298","Hotaru (Firefly)",1
"1299","Hubay Qah Group",1
"1300","Human Rights Defence Committee",1
"1301","Human Rights Renewal Movement (Renovacion por los Derechos Humanos)",1
"1302","Hungarian exile",1
"1303","Hungarian Skin Head Group",1
"1304","Huria Kristen Batak Protestan (HKBP)",4
"1305","Hushaysh Tribal Members",1
"1306","Huthi Extremists",554
"1307","Hutus",167
"1308","Hutus Former Soldiers",5
"1309","H-World/Heavenly Group",1
"1310","Hynniewtrep National Liberation Council (HNLC)",4
"1311","Iberian Anarchist Federation",3
"1312","Iberian Liberation Movement (MIL)",10
"1313","Iconoclasts",1
"1314","Idealist Association",3
"1315","Idriss Miskine Group",1
"1316","Igbo tribal group",1
"1317","Ijaw militants",5
"1318","Ikhwan Jammu and Kashmir",2
"1319","Ikhwan-ul-Muslimeen",3
"1320","Illuminating Paths of Solidarity",6
"1321","Imam Hussein Brigade",2
"1322","Imperial Iranian Patriotic Organization",1
"1323","Incendiary Committee of Solidarity for Detainees",1
"1324","Independence Advocates",1
"1325","Independent Albanian Movement",1
"1326","Independent Armed Revolutionary Commandos (CRIA)",19
"1327","Independent Nasserite Movement",2
"1328","Independent Peasants Union",5
"1329","Indian Mujahideen",34
"1330","Indians",1
"1331","Indian Tigers",1
"1332","Indigenous People's Federal Army (IPFA)",1
"1333","Indipendenza",10
"1334","Individuals claimed to be policemen",1
"1335","Individuals Tending Toward Savagery",2
"1336","Informal Anarchist Federation",43
"1337","Ingush Rebels",4
"1338","Initiative de Resistance Internationaliste",1
"1339","Inkatha Freedom Party (IFP)",50
"1340","Inkotanyi",2
"1341","Institutional Revolutionary Party (PRI)",14
"1342","Insurgency Commune",1
"1343","Insurgents",13
"1344","Internal Front",1
"1345","International Anti-Communist Intelligence Service",1
"1346","International Committee Against Nazism",5
"1347","International Communist Brigade",1
"1348","International Communist Group",2
"1349","Internationalist Cells",3
"1350","International Justice Group (Gama'a al-Adela al-Alamiya)",1
"1351","International Mercenary Brigade",2
"1352","International Movement of the Prolitariat",1
"1353","International Proletarian Groups",1
"1354","International Revolutionary Action Group (GARI)",25
"1355","International Revolutionary Front",2
"1356","International Revolutionary Solidarity",6
"1357","International Solidarity",2
"1358","Intifada Martyrs",1
"1359","Into the Blue Commando of the Revolutionary Cells",2
"1360","Iparretarrak (IK)",57
"1361","Iranian dissident group",1
"1362","Iranian exiles",1
"1363","Iranian Extremists",2
"1364","Iranian Militants",1
"1365","Iranian Monarchists",1
"1366","Iranian Revolution Organization",1
"1367","Iranians",17
"1368","Iraqi Communists",2
"1369","Iraqi Democratic Front",2
"1370","Iraqi Islamic Vanguards for National Salvation (IIVNS)",2
"1371","Iraqi Liberation Army",1
"1372","Iraqi Moslems",1
"1373","Iraqi Mujahideen",9
"1374","Iraqi National Congress (INC)",2
"1375","Iraqi Revolutionary Forces",4
"1376","Iraqis",7
"1377","Iraqi Strugglers' Movement",1
"1378","Iraqi Sunni Extremists",1
"1379","Iraq's Jihadist Leagues",3
"1380","Irianese Tribesmen",2
"1381","Irian Jaya Rebels",2
"1382","Irish National Liberation Army (INLA)",122
"1383","Irish People's Liberation Organization (IPLO)",21
"1384","Irish Republican Army (IRA)",2670
"1385","Irish Republican Extremists",93
"1386","Isatabu Freedom Movement (IFM)",1
"1387","Islambouli Brigades of al-Qaida",5
"1388","Islamic Action Organization",1
"1389","Islamic Arab Front of Azawad (FIAA)",2
"1390","Islamic Army in Iraq (al-Jaish al-Islami fi al-Iraq)",8
"1391","Islamic Brotherhood",1
"1392","Islamic Cause Organization",2
"1393","Islamic Companies",1
"1394","Islamic Courts Union (ICU)",12
"1395","Islamic Defenders' Front (FPI)",2
"1396","Islamic Fateh",1
"1397","Islamic Front",5
"1398","Islamic Front for the Liberation of Bahrain",1
"1399","Islamic Front for the Liberation of Palestine (IFLP)",1
"1400","Islamic Front (Syria)",35
"1401","Islamic Golden Army",1
"1402","Islamic Holy Star",1
"1403","Islamic Jihad Beit-al Maqdis Group",1
"1404","Islamic Jihad Brigades",1
"1405","Islamic Jihad Group (IJG)",3
"1406","Islamic Jihad Organization (Yemen)",2
"1407","Islamic Jihad Union (Uzbekistan)",2
"1408","Islamic Legion",1
"1409","Islamic Liberation Organization",1
"1410","Islamic Movement for Change",1
"1411","Islamic Movement (Nigeria)",1
"1412","Islamic Movement of Iraqi Mujahidin",1
"1413","Islamic Movement of Kashmir",2
"1414","Islamic Movement of Martyrs",1
"1415","Islamic Movement of Uzbekistan (IMU)",5
"1416","Islamic Movement Organization",2
"1417","Islamic Mujahidin",3
"1418","Islamic Party of Kenya (IPK)",3
"1419","Islamic Party (Somalia)",2
"1420","Islamic Renewal Movement",1
"1421","Islamic Revenge Organization",2
"1422","Islamic Revival Movement",1
"1423","Islamic Revolutionary Command",1
"1424","Islamic Salvation Front (FIS)",153
"1425","Islamic Salvation Front (Palestine)",1
"1426","Islamic Shashantantra Andolon (ISA)",2
"1427","Islamic State in Bangladesh",12
"1428","Islamic State of Iraq and the Levant (ISIL)",2833
"1429","Islamic State of Iraq (ISI)",144
"1430","Islamic Struggle Front",1
"1431","Islamic Swords of Justice in the Land of Ribat",1
"1432","Islamic Tendency",1
"1433","Islamic Unification Movement",3
"1434","Islamic Youth Shura Council",3
"1435","Islami Jamiat-e-Talaba (IJT)",2
"1436","Islamist Extremists",194
"1437","Islamist Sufi Group",1
"1438","Islam Liberation Front",2
"1439","Israeli Extremists",33
"1440","Israeli Settler",47
"1441","Israeli Terrorist Group",4
"1442","Israel Militant",1
"1443","Issa and Gurgura Liberation Front",1
"1444","Issui Kai",1
"1445","Italian Combatents for Alto Adige",1
"1446","Italian Extreme Nationalist Organization",1
"1447","Italians Attacking Policies of the Regional  SVP",1
"1448","Italian Social Movement (MSI)",17
"1449","Itsekiri",1
"1450","Ittehad-i-Islami",2
"1451","Ivorian Popular Front",1
"1452","Izberbash Gang",1
"1453","Jacinto Araujo Internationalist Rebel Insurrectionist Brigade",1
"1454","Jacques de Molay Group",1
"1455","Jadid Al-Qaida Bangladesh (JAQB)",3
"1456","Jagrata Towhidi Janata (Rising Faithfuls)",1
"1457","Jaime Bateman Cayon Group (JBC)",6
"1458","Jaish al-Adl",12
"1459","Jaish al-Fatah (Syria)",5
"1460","Jaish al-Islam (Libya)",1
"1461","Jaish al-Muhajireen wal-Ansar (Muhajireen Army)",1
"1462","Jaish al-Mukhtar",1
"1463","Jaish al-Muslimin (Army of the Muslims)",2
"1464","Jaish al-Ta'ifa al-Mansura",2
"1465","Jaish Al-Umma (Army of the Nation)",1
"1466","Jaish as-Saiyouf (Army of Swords)",1
"1467","Jaish-e-Islam",22
"1468","Jaish-e-Khorasan (JeK)",2
"1469","Jaish-e-Mohammad (Iraq)",1
"1470","Jaish-e-Mohammad (JeM)",25
"1471","Jai Shri Ram Hindu Bhai Group",1
"1472","Jaish Tahkim al-Din",1
"1473","Jaish Usama",2
"1474","Jaljala Army",1
"1475","Jamaah Ansharut Daulah",1
"1476","Jamaah Ansharut Tauhid (JAT)",8
"1477","Jamaat-al-Fuqra",5
"1478","Jamaat-E-Islami (Bangladesh)",65
"1479","Jamaat-E-Islami (India/Pakistan)",10
"1480","Jamaat Tauhid Wal Jihad (Pakistan)",1
"1481","Jamaat-ul-Ahrar",18
"1482","Jama'atul Mujahideen Bangladesh (JMB)",30
"1483","Jamaica Labor Party",2
"1484","Jamiat-e Islami-yi Afghanistan",3
