"","motive","times"
"1286","In a statement posted online, Overall Deniers of Joining the Existing stated that their goal was to ""spread chaos and anarchy.""",2
"1287","In a statement posted online, Overall Deniers of Joining the Existing stated that their goal was to ""spread chaos and anarchy.""  The group also criticized Stavros Kalafatis, whose office was attacked, for his support for a mining site in Halkidiki.",1
"1288","In a statement posted online, the Informal Anarchist Federation claimed responsibility for the incident and stated that Failos Kranidiotis was targeted because of his connections to both New Democracy and Golden Dawn.",1
"1289","In a statement posted online, the Islamic State of Iraq and the Levant (ISIL) claimed responsibility and stated that the rocket attack, which targeted Hizballah positions, was in retaliation for the group's involvement in the recent battles in Yabrud city, Syria.",2
"1290","In a statement posted online, the Islamic State of Iraq and the Levant (ISIL) claimed responsibility for the incident and stated that the mortar attack was in retaliation for Hizballah's involvement in the Syrian Civil War.",1
"1291","In a statement posted on the internet, the Al-Nusra Front claimed responsibility for the attack and stated that the suicide bombing targeted security forces near the mosque because they were aggressors who were preparing to attack individuals after a prayer service.",1
"1292","In a statement published on the internet, Ingush Rebels claimed responsibility for the attack and stated that it was in response to an alleged attack by Russian and pro-Russian troops on Muslims in the village of Galgayche several weeks earlier.",1
"1293","In a statement published on the internet, the group International Revolutionary Front claimed that the attack, stating that their goal was to show solidarity with anarchist groups and leaders across the world, particularly those imprisoned in Greece and Italy, and that they targeted Microsoft to strike a blow against capitalism.",1
"1294","In a statement released on the internet, Al-Nusrah Front claimed responsibility, stating that the radio station al-Ikhbaria was attacked because of its pro-Assad regime stance.",1
"1295","In a statement, the Baloch Liberation Front (BLF) claimed responsibility for the incident and stated that the army is involved in killing members of the BLF and that they are interested in making financial gains from the disaster relief.",1
"1296","In a statement, the Free Syrian Army claimed responsibility for the attack, which killed the defense minister and the President's brother-in-law, two top Syrian regime figures. The FSA stated that the officials were targeted because they were responsible for massacres. The FSA further elaborated that the ultimate aim of the attack was to bring down the Assad regime in Syria. In a competing claim of responsibility, Liwa al-Islam claimed ownership of the attack and, in a statement on their Facebook page, said that they had targeted the crisis management cell because it contained several key regime figures. Sources noted that the crisis management cell had been charged by President Assad with suppressing the rebellion in Syria.",1
"1297","In a statement, the Libya Revolutionaries Operations Room (LROR) claimed responsibility for the incident and said that it was carried out in response to a United States Special Forces operation leading to the capture of suspected Al-Qa'ida leader Abu Anas al-Libi. LROR further stated that they were upset that the Libyan government had known about the operation beforehand and not stopped it.",1
"1298","In a statement, the National Liberation Army of Colombia (ELN) claimed responsibility for the abductions, saying that the group was upset over mining rights, which through a corrupt political process, had been taken from traditional local miners and instead given to foreign corporations.  Sources note that the kidnapping victims were employees of the Braeval Mining Corporation, a Canadian company which has mining interests and options to acquire mineral rights in four additional areas in the San Lucas mountains, a traditional National Liberation Army of Colombia (ELN) stronghold.  After the release of five of the six hostages, the National Liberation Army of Colombia (ELN) offered to exchange the remain hostage, a Canadian citizen, for the return of mining titles.",1
"1299","In a statement the Taliban claimed responsibility and stated they targeted the compound because it is used as a refuge by the United States Central Intelligence Agency (CIA).",1
"1300","In a statement, the United Baloch Army (UBA) claimed responsibility for the attack and said that it was carried out in response to Pakistan's refusal to allow international aid agencies to work in areas of the country that had been affected by an earthquake.",1
"1301","In a statement to a radio station, the Red Hand Defenders claimed that this attack was one in an ongoing campaign of attacks in the region.  The country was in the midst of peace talks with loyalists.",1
"1302","In a suicide note written by Charles Bishop, he states: ""First of all, Osama bin Laden is absolutely justified in the terror he has caused on 9-11. He has brought a mighty nation to its knees! God blesses him and the others who helped make September 11 happen,"" ""The U.S. will have to face the consequences for its horrific actions against the Palestinian people and Iraqis by its allegiance with the monstrous Israelis who want nothing short of world domination. You will pay God help you and I will (underlined) make you pay.  There will be more coming! Al Qaeda and other organizations have met with me several times to discuss the option of me joining. I didn't.  This is an operation done by me only. I had no other help, although I am acting on their behalf.  Osama bin Laden is planning on blowing up the Super Bowl with an antiquated nuclear bomb left over from the 1967 Israeli-Syrian war.""",1
"1303","In a text message to media sources, Al-Qa'ida in the Arabian Peninsula (AQAP) claimed responsibility for the attack and stated that the pipeline was targeted in retaliation for a United States (US) drone strike, which killed five of the group's members.",1
"1304","In a video posted online, Abubakar Shekau, leader of Boko Haram, claimed responsibility for the incident, pledging further attacks against teachers and educational institutions that do not adhere to the teachings of the Qur'an and utilize a Western education model.",1
"1305","In a video posted online, the Taliban claimed that the woman was executed for the crime of adultery and shot by her husband.  However, various government sources put forward different motives, stating that the woman was killed because she was the wife of a local militia leader, she was passing information on her Taliban lover to the government, or she was having affairs with multiple Taliban fighters.",1
"1306","In a video posted on YouTube, the group Liwa al-Sham claimed responsibility for the incident, stating that they were targeting senior officers who were  for crimes committed under Assad's government.",1
"1307","In a video recorded by a bystander, the individual claimed responsibility and stated that he killed a British soldier because of the killing of Muslims in Afghanistan and other countries and demanded the British government return troops home.",1
"1308","In a video released to Al-Jazeera television, three masked men held the Somali captive and demanded that his Kuwaiti employer leave Iraq within 48 hours.",1
"1309","In a video statement, the Islamic State of Iraq and the Levant (ISIL) claimed responsibility for the attack and stated that the two men were apprehended because they were believed to be pro-government gunmen. Additionally, they were executed due to failed attempts to trade them for rebel prisoners.",1
"1310","In a video, the group demanded that the Turkish company withdrawal its services in Iraq or the two hostages would be executed.",1
"1311","In a video, the Mujahedeen Corps in Iraq demanded the Jordanian company Daoud & Partners, owned by Rami al-Ouweiss, to stop all business with the U.S. Military within 72 hours.",1
"1312","In a website statement, Zabihollah Mojahed, a Taliban spokesperson claimed responsibility for the attack and stated the attack targeted the provincial chief of the counterterrorism police because he was a killer and cruel person ""who was punished for his sinister actions.""",1
"1313","In celebration of ""Black Tiger's Day,"" the anniversary of first suicide bomb attack in 1987.",3
"1314","Increased constraints on drug trafficking, which the Shining Path taxes, is provoking a response.",1
"1315","Independence for Thailand's southern regions",1
"1316","Indonesia's Vice President said that the attacks were an attempt to foil the peace process.",1
"1317","In efforts to protest tuition increases and fight police repression and American imperialism",1
"1318","In his claim of the attack, one of the assailants noted that he was attempting to wage a holy war and attacked the chess hall because he thought the people inside would not put up a resistance.",1
"1319","In his confession, Ali Muhammad Brown stated that the attack was in revenge for the United States' foreign policy actions.",1
"1320","In his telephoned claim of responsibility, Karen National Union (KNU) spokesman Pado Mahn Sha stated, ""We did it, we are responding with guerrilla operations to our enemy [the junta] which has launched an offensive against the Karen people in that area.""",1
"1321","Initiative de Resistance Internationaliste stated that they were publicizing the pillaging of Canadian resources by the United States.",1
"1322","In its claim of responsibility, Ajnad Misr stated that the attack was a method of demonstrating the vulnerability of less important government installations and personnel.",3
"1323","In its claim of responsibility, Ajnad Misr stated that the attack was a method of demonstrating the vulnerability of less important government installations and personnel.  (added AP claim article)",1
"1324","In its statement, the Mujahedeen Shura Council said that Ayham al-Samarraie was targeted because he was involved and supported the U.S.-backed government.",1
"1325","In leaflets, the group claimed it was attempting to free the Palestinian land from the Israeli occupation.",1
"1326","In opposition of Gap and the World Trade Organization.",1
"1327","In order to free comrades that were arrested in connection with Sri Lankan bus bombing (cf: 199803060002)",1
"1328","In order to give attention to Earth Day and protest",1
"1329","In pamphlets recovered from the site of the incident, the SJMM issued a warning to the government. They also claimed that their attack had the support of the local people.",1
"1330","In protest of pro-Israel articles in the Egyptian newspaper edited by Mr. Sebai.",1
"1331","In protest of the Bait-and-shoot program at Durand-Eastman Park in Rochester, NY",1
"1332","In protest of the Popular Party's policies.",1
"1333","In protest of the use of meat.",1
"1334","In reaction to a nationwide strike effecting the oil industry in this region.",1
"1335","In reaction to what the group believed to be western influences communicated through advertising, which threatened to repress Estonia's national culture.",1
"1336","In reprisal for the deaths of 11 peasants, killed June 7, 1998 when soldiers attacked a school in Guerrero. ",1
"1337","In reprisal for the organization of an Identity Rock concert by the town's National Front (FN) council.",1
"1338","In response to Britain's involvement in Cyprus.",1
"1339","In response to Israeli crimes against Palestinians",1
"1340","In response to Pakistani President General Pervez Musharraf's banning of two Shiite groups, Sipah-e-Muhammad and Lashkar-e-Jangvi.",1
"1341","In response to Spanish politicians encouragement for ETA to stop attacks like the IRA.",2
"1342","In response to the Israel war force policy, arrests and continued witch hunt of Mujahedeen in the West Bank and an assurance of the option of Jihad until liberation of the Palestinian soil",1
"1343","In response to the killings of two Palestinian Activists.",1
"1344","In response to the occupation's crimes in the West Bank and Gaza Strip",1
"1345","In retaliation for Israeli assassinations of Islamic Jihad leaders.",1
"1346","In retaliation for killing a Hizballah commander.",1
"1347","In retaliation for Ms. Zarkova's investigative reporting and to intimidate like-minded journalists.",1
"1348","In retaliation for NATO airstrikes in the Mohammad district.",1
"1349","In retaliation for previous Israeli Security Forces attacks.",1
"1350","In retaliation for Taliban land and air attacks on residential areas in the north of the country.",1
"1351","In retaliation for the death of the Abu Sayyaf Group (ASG) leader, Wahid Saylani.",1
"1352","In retaliation for the killing of Karim Atwi and Mohammed Hammoud",1
"1353","In retaliation for the shooting of four Phalangists earlier that day.",1
"1354","In retaliation for the slaying of eight members of the group in a clash with Iranian security forces in November 1997.",3
"1355","Inspector General Neelmani claimed that the attack was an attempted raid to loot arms.",1
"1356","Insurgency Action",1
"1357","Insurgents fired rockets to sabotage the Iraqi oil-producing infrastructure.",1
"1358","Insurgents wanted to disturb the president's departure to Djibouti for talks with the opposition.",2
"1359","Intended to injure police.",1
"1360","Intent to cause bodily harm to the deputy commander.",1
"1361","Internal feud is suspected to be the reason behind the attack.",1
"1362","International Solidarity called for the release of anarchist prisoners from Spanish jails.",1
"1363","In the claim of responsibility, the PLFP stated that this attack was carried out due to their leader being killed recently by Israel.",1
"1364","In the claim, the PLFP said that this attack was in retalition for the slaying of one of its leaders by Israeli troops.",1
"1365","In their claim of responsibility, Al-Nasir Salah al-Din Brigades stated that the attack was in response to Israeli persecution of Palestinians in the West Bank and Gaza Strip as well as Israeli mistreatment of Palestinian prisoners.",1
"1366","In their claim of responsibility, Al-Nasir Salah al-Din Brigades stated that the attack was in response to the recent killing of two group commanders by Israeli forces.",1
"1367","In their claim of responsibility, Al Shabaab stated that the attack was meant to impede African Union Mission in Somalia (AMISOM) and government progress in central areas of Somalia.",1
"1368","In their claim of responsibility, Al-Shabaab stated that they killed the police officers and would continue to kill anyone who refused to repent for their sins.",1
"1369","In their claim of responsibility, Al-Shabaab stated that they killed the soldiers and would continue to kill anyone who refused to repent for their sins.",1
"1370","In their claim of responsibility, Ansar Bayt al-Maqdis (Ansar Jerusalem) stated that the attack was an act of revenge and that all soldiers serving the president would be similarly killed.",1
"1371","In their claim of responsibility, Conspiracy of the Cells of Fire-Nihilists Sect stated that the attack was in response to perceived police and prison brutality as well as the death of a high-profile prison inmate.",1
"1372","In their claim of responsibility, Jaish al-Muhajireen wal-Ansar (Muhajireen Army) demanded the release of Khaled Suleiman, an imprisoned Saudi Arabian national.",1
"1373","In their claim of responsibility, Jaish-e-Islam stated that they targeted known Shiite locations because many Shiite Muslims from Pakistan were engaging in war against Sunni Muslims in Syria.",2
"1374","In their claim of responsibility, Maoists stated that the victim was a police informer.",1
"1375","In their claim of responsibility, Mujahideen Ansar stated that the attack was in retaliation for Pakistan Air Force drone strikes in North Waziristan.",1
"1376","In their claim of responsibility, one of the suspects stated that the attack was in revenge for the kidnap and murder of three Israeli teenagers in the West Bank and Gaza Strip.",1
"1377","In their claim of responsibility, the Al-Aqsa Martyrs Brigade stated that the boys would only be returned in exchange for the release of thousands of prisoners. Separately, Islamic State of Iraq and the Levant (ISIL) had a pamphlet distributed in its name stating that it kidnapped the boys to support Palestinian detainees as well as to avenge its dead comrades.  Alternatively, Dawlat al-Islam, a sub-group of ISIL, stated that they had kidnapped the boys in retribution for Israel killing three group members several months prior.",1
"1378","In their claim of responsibility, the February 14th Movement stated that the attack was in revenge for the failure to release the corpse of Abdulaziz Moussa Al Abba for burial.",1
"1379","In their claim of responsibility, the New People's Army (NPA) stated that Okinlay was targeted because he had made laws that were biased against local farmers and had helped the military fight the NPA since 2006.",1
"1380","In their claim of responsibility, the perpetrators called for the ""immediate release of all political prisoners including Daw Aung San Suu Kyi"" and demanded the military government ""hand over the state power to National League for Democracy"" (NLD) which won a landslide victory in a 1990 general election.",1
"1381","In their claim of responsibility, the PLFP stated that the attack was in response to its leader being killed by Israel's military.",1
"1382","In their claim of responsibility, the Tehrik-i-Taliban Pakistan (TTP) stated that the attack was in revenge for the Air Force's attacks in the Tirah Valley and other villages in the tribal areas.",1
"1383","In their claims of responsibility, Tehrik-i-Taliban Pakistan (TTP) and Islamic Movement of Uzbekistan (IMU) stated that the attacks were a response to Pakistani airstrikes on villages in Northwestern Pakistan as well as a response to the November drone strike by the United States that killed the former TTP leader Hakimullah Mehsud.",1
"1384","In their claim, the Islamic Jihad said the attack was in response to violence against Palestinians, saying they would continue to commit violent acts until Israel exited their lands.",1
"1385","In the name of animal rights; the perpetrators believed meat was ""murder""",3
"1386","In the note left by FALN at a telephone booth by the FBI building, members demanded that officials cease the federal investigation of two women lay ministers of the Episcopal Church, who worked for the National Commission on Hispanic Affairs.  FBI officials believed the women had information about the only known member of FALN, Carlos Albert Torres, and were thus imprisoned on charges of contempt, despite their denials of any knowledge of FALN or the activities of FALN members.",1
"1387","In the phone call the Popular Front for the Liberation of Palestine (PFLP) placed to the Agence France-Presse news agency following the explosion, the group claimed that the attack was directed towards the Israeli governments war against Palestine.",1
"1388","In the weeks prior to the attack, Burundian rebel groups stepped up ambushes along main roads as part of a ""psychological warfare"" strategy in an effort to disrupt trade between the capital and the provinces.",1
"1389","Intimidate Arabs who sell land to Jews in Arab east Jerusalem",1
"1390","Intimidate foreign presence in Russia",1
"1391","Intimidate former members of the Algerian military",1
"1392","Intimidate/hurt the Thai military",1
"1393","Intimidate newspaper vendors and distribution stations in Iraq",1
"1394","Intimidate people who promote racial harmony",1
"1395","Intimidate Playboy to stop publishing in Indonesia",1
"1396","Intimidate pro-Castro sympathizers and protest Fidel Castro's government.",1
"1397","Intimidate remaining Serbian population in the area",2
"1398","Intimidate telecommunications business working with Coalition Forces in Afghanistan",2
"1399","Intimidate the African American community of New Bedford Massachusetts.",1
"1400","Intimidate the Black Panther Party.",1
"1401","Intimidate those militant members who renounce the terrorists group's cause",1
"1402","Intimidate those who have political ties to government of Iraq",1
"1403","Intimidate those who send their children to school",1
"1404","Intimidate those who support the Iraqi government and reconstruction",1
"1405","Intimidate those who work U.S. forces in Iraq",1
"1406","Intimidate those who work with Coalition Forces in Iraq",1
"1407","Intimidating/preventing KFPT from allowing Communists a network to share their views.",2
"1408","Intimidating the Ethiopian Armed forces into leaving Somalia",1
"1409","Intimidation",1
"1410","Intimidation of target and those who decide to go against the KKK or help the government; an issue of inner-party conflict.",1
"1411","Investigators believed that these attacks were politically motivated.",4
"1412","Investigators believe that the former military servicemen were motivated by extremist views and a violent dislike of Chubais, who spearheaded economic reforms in the 1990s, impoverishing millions, and leaving the economy in the hands of a few powerful and connected businessmen.",1
"1413","Investigators consider this to be a well-organized hate crime against Kurds by racist people.",1
"1414","Investigators suggest  the murder was related to Tsvetkov's distribution of fishing quotas among competing companies in the region, and also from Tsvetkov's attempts to force gold-mining companies in the region to repay a multimillion-dollar loan provided by the federal government in 1995.",1
"1415","Investigators suspected that the attack was motivated by extortion.",1
"1416","Investigators suspected that this bombing is the result of an internal feud involving former associates of the Ulster Defense Association (UDA).",1
"1417","Isabel Fermiza, a New People's Army (NPA) spokesperson, claimed responsibility for the attack and stated that the attack was meant to refute the Philippine Army's claim that the NPA was becoming less effective.",1
"1418","Islamic insurgents attacked a hotel where the Bay region governor Abdufatah Mohammad Ibrahim and other government officials were staying in Qasahdere.",1
"1419","Islamic Jihad claimed the attack was in response to Israeli actions against Palestinians",1
"1420","Islamic Jihad stated the attack was a message of Israeli leaders. ""We carried out this attack in order to disrupt the Israeli elections,"" said Abu Bara, a spokesman for Islamic Jihad. ""We strike (Israel) to show the world that this state is illegal and we will carry on.""",1
"1421","Islamic Jihad was one of three groups to claim responsibility for the border raid. The other two groups were not identified.",1
"1422","Islamic militants in the lawless tribal region have launched a campaign against crimes in the deeply conservative region.",1
"1423","Islamic separatist organizations had earlier promised to step up their violent campaign following the collapse of the July 2001 summit between India and Pakistan.",1
"1424","Islamic State of Iraq and the Levant (ISIL) claimed responsibility and stated that the attack was in retribution for Kurdish arrests of Muslim women.",2
"1425","Islamic State of Iraq and the Levant (ISIL) claimed responsibility and stated that the incident was in response to remarks made by the president of the Iraqi Kurdistan Region, Massoud Barzani, who offered support to the Shiite-led government in Baghdad and to Kurdish militias in Syria.",1
"1426","Islamic State of Iraq and the Levant (ISIL) claimed responsibility and stated that this and other coordinated bombings in Baghdad were in retaliation for intensified security  operations against insurgents in Sunni areas.",15
"1427","Islamic State of Iraq and the Levant (ISIL) claimed responsibility for the kidnapping, stating it was in retribution for United States drone strikes in Syria.",1
"1428","Islamic State of Iraq and the Levant (ISIL) claimed responsibility for the kidnapping, stating that they wanted the United States to halt airstrikes in Iraq.",1
"1429","Islamic State of Iraq and the Levant (ISIL) claimed responsibility for this and the other coordinated incidents in Baghdad on this day, stating that the attacks were in retaliation for security campaigns that ""target Sunni areas.""",13
"1430","Islamic State of Iraq and the Levant stated that they executed Foley in retaliation for airstrikes carried out by the United States in Iraq.",1
"1431","Israeli political and security elements believed that the perpetrators wanted to prevent progress in the political negotiations, specifically he meeting between Defense Minister Yitzhaq Mordekhay and Abu-Mazin (Mahmud 'Abbas), scheduled for that day.",1
"1432","Israeli settlers claimed responsibility for the incident and stated in a note left at the scene that the attack was carried out in retaliation for the arrest of right-wing Jewish activists.",1
"1433","It can be assumed that the Adhemiyah Shawa council was targeted because of their role as a Sunni government-supported paramilitary unit; tasked with fighting insurgent members.",1
"1434","It can be assumed that the kidnapping and assault were the result of upcoming elections on April 10.",1
"1435","It has been suspected that the assailants were attempting to disrupt upcoming legislative elections.",3
"1436","It is alleged that some cadres belonging to the Jamaat-e-Islami (JI) and Khatm-e-Nabuwat (KeN) were carrying on a hate campaign against the Ahmedis and they had even placed a board outside a local graveyard, reading, “Ahmedis are not allowed to bury their dead in this graveyard.""",1
"1437","It is believed target was selected because it provides reproductive health services.",1
"1438","It is believed that Al Shabaab kidnapped the two journalists because they were reporting without the groups consent.",1
"1439","It is believed that Gautam was abducted for his association with Chure Bhawar Ekta Samaj, a political party representing the hill people living in the Terai region.",1
"1440","It is believed that the aim of the explosions, which took place within frew hundred meters of each other, was to create panic.",2
"1441","It is believed that the attack is part of an effort of Taliban to disrupt the election.",1
"1442","It is believed that the attacks were used to provoke social unrest.",1
"1443","It is believed that the attack was in response to recent security force operations in the area.",1
"1444","It is believed that the attack was in retaliation for the murder of eight Naxals by villagers.",1
"1445","It is believed that the bomber exploded in order to allow other members of the Liberation Tigers of Tamil Eelam (LTTE) to escape.",1
"1446","It is believed that the boy was taken hostage for ransom money",1
"1447","It is believed that the FARC rebels were trying to extort the store and after several failed attempts employed the use of the grenade as ""punishment"" for not giving in to their demands.",1
"1448","It is believed that the motive behind these murders was that the Bankston brothers were disobeying orders of their own group, New World sect.",1
"1449","It is believed that the motive is to force the government to give more revenues to its poor regions.",1
"1450","It is believed that the New People's Army is responsible for the attack and blew the bus up in response to the company's refusal to pay a ""revolutionary tax""",1
"1451","It is believed that the New Peoples Army were hired to snatch the election ballots for a local politician",1
"1452","It is believed that the plane and hostages were captured in retaliation for the capture of several militia commanders the month before the incident",1
"1453","It is believed that the victim was a former rebel who was targeted for leaving.",1
"1454","It is believed the attacks were carried out to delay upcoming scheduled elections.",3
"1455","It is claimed that the bombings were in retaliation for the government killing nine of their fighters.",1
"1456","It is suspected that the assailants attempted to intimidate former members of the Algerian security forces.",1
"1457","It is suspected that the assailants were attempting to sabotage the upcoming municipal elections.",4
"1458","It is suspected that the assailants were protesting the president of Algeria who visited Bouira on the same day.",1
"1459","It is suspected that the attack occurred because insurgents who oppose the education of girls have bombed and destroyed hundreds of northwestern schools in recent years.",1
"1460","It is suspected that the attack was carried out targeting the families of soldiers who were present in the shopping center at the time of the blast.",1
"1461","It is suspected that the attack was committed by the LTTE as a diversionary measure to direct security forces away from the battles in the north between the LTTE and the government as the Tigers were fighting for an independent Tamil state.",1
"1462","It is suspected that the attack was ""launched by the LTTE in retaliation for the recent operations of the Sri Lankan Navy against the transport ships of the LTTE and the air strikes of the SLAF over LTTE positions in the Northern Province.""",1
"1463","It is suspected that the bombing took place to protest the recent European Union mission to Algiers which discussed with the Algerian government ways in which to end the ongoing violence in the region.",2
"1464","It is suspected that the farmer was targeted because he did not pay a tithe demanded by the perpetrators",1
"1465","It is suspected that the mine had been brought to the area by the LTTE with the intention of using it against the Security Forces. The Tigers have been fighting the majority government for a separate state for ethnic Tamils since 1983.",1
"1466","It is suspected that the motive for this attack was that Khaalis denounced Elijah Muhammad, the Black Muslim leader, for teaching false doctrines of Islam.",1
"1467","It is suspected that the victim was targeted because he was a supporter of a rival organization.",1
"1468","It is suspected that this attack is part of a calculated campaign by Islamic extremists to destabilize Algeria by killing civilians at random.",2
"1469","It is suspected that this attack is part of a calculated GIA campaign to destabilize Algeria by killing civilians at random.",1
"1470","It is suspected that this attack is part of a campaign of violence following the instillation of Abou Tourab as the head of the GIA.",6
"1471","It is suspected that this attack was carried out as part of a campaign by Islamic extremists to sabotage upcoming parliamentary elections.",1
"1472","It is suspected that this attack was carried out as part of a campaign the GIA to sabotage upcoming parliamentary elections.",1
"1473","It is suspected that this attack was carried out to raise funds and to divert Algerian forces that were targeting AQLIM in the mountains.",1
"1474","It is suspected that this attack was part of a calculated AQLIM campaign to destabilize Algeria by weakening security forces protecting the 'apostate' Algerian government.",4
"1475","It is suspected that this attack was part of a calculated campaign by Algerian Islamic extremists to destabilize the country by sabotaging utilities.",1
"1476","It is suspected that this attack was part of a calculated campaign by Algerian Islamic extremists to increase the frequency of violent attacks during both Ramadan and the one year anniversary of the passage of the act for national reconciliation.",1
"1477","It is suspected that this attack was part of a calculated campaign by Algerian Islamic extremists to increase the frequency of violent attacks during Ramadan.",1
"1478","It is suspected that this attack was part of a calculated campaign by Islamic extremists to destabilize Algeria by killing civilians at random.",3
"1479","It is suspected that this attack was part of a calculated campaign by Islamic extremists to destabilize Algeria by setting up fake roadblocks to terrorize citizens and murder individuals identified as belonging to the Algerian security forces.",1
"1480","It is suspected that this attack was part of a calculated campaign by Islamic extremists to destabilize Algeria by setting up fake roadblocks to terrorize citizens and raise funds.",1
"1481","It is suspected that this attack was part of a calculated campaign by Islamic extremists to destabilize Algeria by weakening security forces defending the 'apostate' Algerian government.",11
"1482","It is suspected that this attack was part of a calculated campaign by Islamic extremists to destabilize Algeria by weakening security forces protecting the 'apostate' Algerian government.",27
"1483","It is suspected that this attack was part of a calculated GIA campaign to destabilize Algeria by weakening security forces defending the 'apostate' Algerian government.",2
"1484","It is suspected that this attack was part of a calculated GIA campaign to protest the presence of foreigners influences within Algeria.",1
"1485","It is suspected that this attack was part of a calculated GSPC campaign to destabilize Algeria by weakening security forces defending the 'apostate' Algerian government.",5
"1486","It is suspected that this attack was part of a calculated GSPC campaign to destabilize Algeria by weakening security forces protecting the 'apostate' Algerian government.",16
"1487","It is suspected that this attack was part of a calculated GSPC campaign to increase the frequency of violent attacks during both Ramadan and the one year anniversary of the passage of the act for national reconciliation.",1
"1488","It is suspected that this attack was part of a campaign by Islamic extremists to intimidate Algerian politicians.",4
"1489","It is suspected that this attack was part of a campaign by Islamic extremists to target former members of the Algerian security forces.",1
"1490","It is suspected the attack was carried out due to the refusal by the establishment to pay extortion money to the guerrillas.",1
"1491","It is thought that the attack was carried out for non-payment of extortion demands.",1
"1492","It is unclear if the assailants specifically targeted the workers because they were employed by a national company that specialized in mines or if the Islamic extremists were targeting Algerian civilians at random.",1
"1493","It is unclear if the victims were targeted for a specific reason or if the assailants intended to kill Algerian civilians at random.",1
"1494","It is unclear if the victims were targeted for a specific reason or if this attack was part of a calculated AQLIM campaign  to kill Algerian civilians at random.",1
"1495","It is unclear if the victims were targeted for a specific reason or if this attack was part of a calculated campaign by Islamic extremists to kill Algerian civilians at random.",5
"1496","It is unclear if the victims were targeted for a specific reason or if this attack was part of a calculated campaign by Islamic extremists to terrorize Algerian civilians at random.",1
"1497","It is unclear if the victim was targeted for a specific reason or if this attack was part of a calculated campaign by Islamic extremists to kill Algerian civilians at random.",4
"1498","It is unclear if the victim was targeted for a specific reason or if this attack was part of a calculated campaign by Islamic extremists to terrorize Algerian civilians at random.",1
"1499","It is unclear if the victim was targeted for a specific reason or if this attack was part of a calculated GIA campaign to kill Algerian civilians at random.",1
"1500","It is unclear if the victim was targeted for a specific reason or if this attack was part of a calculated GSPC campaign to kill Algerian civilians at random.",1
"1501","It is unknown if the victims were killed for a specific reason or if the assailants intended to target Algerian civilians at random.",2
"1502","It is unknown if the victim was targeted for a specific reason or if the assailants intended to kill Algerian civilians at random.",1
"1503","It may have been in retaliation for the Senator returning to active politics.",1
"1504","It said that the kidnapping was in response to the company's policy of employing people from the capital rather than locals, according to the Chinese embassy.",1
"1505","It was alleged the victim had been supplying news and other information to the EPDP-run radio program ""Ithayaveenai,"" from Colombo.",1
"1506","It was assumed that the bombing, having occurred on market day during the busiest hours, was meant to undermine improving relationships between Serbs and Albanians in Kosovo.",1
"1507","It was believed that Justice Upadhyaya was one of the main targets of insurgents due to his verdicts against some Maoist supporters and workers in several recent cases. He had also been a vocal proponent of special courts set up to try Maoists.",1
"1508","It was believed that the attack was a protest to election results that occurred on December 15, 1997.",2
"1509","It was believed that the attack was carried out as a rejection of President Jose Eduardo dos Santos' amnesty offer.",1
"1510","It was believed that the attack was carried out because Mr. Kopanja had published articles detailing war-time atrocities committed against non-Serbs by Serbian and Bosnian Serb forces.",1
"1511","It was believed that the attack was carried out because of an on-going land dispute.",1
"1512","It was believed that the attack was carried out in protest of an upcoming oil conference in Riyadh.",1
"1513","It was believed that the attack was carried out in retaliation for a military operation the day before (on 06/13/2008 on Friday) in Bukidnon that killed three NPA guerrillas.",1
"1514","It was believed that the attack was carried out to mark the first anniversary of the arrest in London of former dictator Augusto Pinochet and in protest of the extradition of Pinochet to Spain.",2
"1515","It was believed that the attack was racially motivated.",1
"1516","It was believed that the killings were revenge for previous sectarian violence in the Pakistani town of Parachinar.",1
"1517","It was believed that this attack was one of a series of retribution killings that occurred following the death of the attackers' leader, Billy Wright.",1
"1518","It was believed that UNITA attacked Caxito to destroy the bridge over the Dange River to disrupt the flow of goods between the Zaire and Uige provinces.",1
"1519","It was believed the attack was carried out to divert police from a car bomb attack that took place minutes after the grenade attack.",1
"1520","It was believed the boy was targeted because his father was a supporter of the Shiite political party Tehrik-i-Jafria Pakistan (TJP).",1
"1521","It was believed this attack was meant to intimidate UN inspectors and halt weapons inspections.",1
"1522","It was possible the attack was a form of clan-based revenge.",1
"1523","It was speculated that the assassination was the result of a grudge killing.",1
"1524","It was suspected that armed Islamist groups, which are opposed to any form of recreation carried out the attack.",1
"1525","It was suspected that civilians at the Marando Hotel were targeted due to the likelihood that they would be able to pay high ransoms.",1
"1526","It was suspected that the attack was a reprisal for the continued operations against the AUC.",1
"1527","It was suspected that the attack was in response to a meeting of Palestinian officials to agree on deploying a joint force of Palestinian factions responsible for the camp's security.",1
"1528","It was suspected that the attack was perpetrated to intimidate Serbs into leaving Kosovo.",1
"1529","It was suspected that the attack was to sabotage the upcoming state polls on September 16, 2002.",1
"1530","It was suspected that the bombing was in response to the U.S.-led bombing campaign in Afghanistan.",1
"1531","It was suspected that the bombing was in retaliation for the death of an ETA suspect during a car chase the day before.",1
"1532","It was suspected that the bus was attacked because it was heading out of Katmandu toward the southern border town of Birgunj, defying a rebel call for a nationwide general strike.",1
"1533","It was suspected that the motive of the attack was in response to the anti-illegal logging campaign in Leyte.",1
"1534","It was suspected that the newspaper was attacked due to straight-forward reporting regarding political parties.",1
